rdfid,topic_name,Title,Direction,Weight
jif_else1,Decisions,ModulusExpression,0,1
jif_else1,Decisions,VariableInitializationStatement,0,1
jif_else1,Decisions,AddAssignmentExpression,0,1
jif_else1,Decisions,GreaterExpression,1,1
jif_else1,Decisions,IfStatement,1,1
jif_else2,Decisions,InstanceField,0,1
jif_else2,Decisions,ConstructorCall,0,1
jif_else2,Decisions,PrivateAccessSpecifier,0,1
jif_else2,Decisions,VariableInitializationStatement,0,3
jif_else2,Decisions,SubtractExpression,0,1
jif_else2,Decisions,ObjectVariable,0,1
jif_else2,Decisions,ConstructorDefinition,0,2
jif_else2,Decisions,AddExpression,0,1
jif_else2,Decisions,FormalMethodParameter,0,3
jif_else2,Decisions,SimpleAssignmentExpression,0,7
jif_else2,Decisions,ExpressionStatement,0,4
jif_else2,Decisions,ClassDefinition,0,1
jif_else2,Decisions,InstanceFieldDefinitionStatement,0,1
jif_else2,Decisions,DoubleDataType,0,4
jif_else2,Decisions,ReturnStatement,0,1
jif_else2,Decisions,SimpleVariable,0,3
jif_else2,Decisions,MethodDefinition,0,3
jif_else2,Decisions,ObjectCreationStatement,0,1
jif_else2,Decisions,PublicAccessSpecifier,0,6
jif_else2,Decisions,ObjectMethodInvocation,0,4
jif_else2,Decisions,VoidDataType,0,2
jif_else2,Decisions,ActualMethodParameter,0,3
jif_else2,Decisions,GreaterExpression,1,1
jif_else2,Decisions,IfElseStatement,1,1
jif_else3,Decisions,InstanceField,0,0.5
jif_else3,Decisions,VoidDataType,0,1
jif_else3,Decisions,ActualMethodParameter,0,4
jif_else3,Decisions,ConstructorCall,0,1
jif_else3,Decisions,PrivateAccessSpecifier,0,0.5
jif_else3,Decisions,VariableInitializationStatement,0,2
jif_else3,Decisions,SubtractExpression,0,0.5
jif_else3,Decisions,ObjectVariable,0,1
jif_else3,Decisions,ConstructorDefinition,0,1
jif_else3,Decisions,AddExpression,0,0.5
jif_else3,Decisions,FormalMethodParameter,0,1.5
jif_else3,Decisions,SimpleAssignmentExpression,0,4
jif_else3,Decisions,ExpressionStatement,0,2
jif_else3,Decisions,ClassDefinition,0,0.5
jif_else3,Decisions,InstanceFieldDefinitionStatement,0,0.5
jif_else3,Decisions,DoubleDataType,0,2.5
jif_else3,Decisions,ReturnStatement,0,0.5
jif_else3,Decisions,SimpleVariable,0,2
jif_else3,Decisions,MethodDefinition,0,1.5
jif_else3,Decisions,ObjectCreationStatement,0,1
jif_else3,Decisions,PublicAccessSpecifier,0,3
jif_else3,Decisions,ObjectMethodInvocation,0,6
jif_else3,Decisions,StatementBlock,1,2
jif_else3,Decisions,GreaterExpression,1,2
jif_else3,Decisions,IfElseIfStatement,1,1
jif_else4,Decisions,ObjectMethodInvocation,0,4
jif_else4,Decisions,InstanceField,0,0.5
jif_else4,Decisions,VoidDataType,0,1
jif_else4,Decisions,ActualMethodParameter,0,2
jif_else4,Decisions,ConstructorCall,0,1
jif_else4,Decisions,PrivateAccessSpecifier,0,0.5
jif_else4,Decisions,VariableInitializationStatement,0,2
jif_else4,Decisions,SubtractExpression,0,0.5
jif_else4,Decisions,ObjectVariable,0,1
jif_else4,Decisions,ConstructorDefinition,0,1
jif_else4,Decisions,AddExpression,0,0.5
jif_else4,Decisions,FormalMethodParameter,0,1.5
jif_else4,Decisions,SimpleAssignmentExpression,0,4
jif_else4,Decisions,ExpressionStatement,0,2
jif_else4,Decisions,ClassDefinition,0,0.5
jif_else4,Decisions,InstanceFieldDefinitionStatement,0,0.5
jif_else4,Decisions,DoubleDataType,0,2.5
jif_else4,Decisions,ReturnStatement,0,0.5
jif_else4,Decisions,SimpleVariable,0,2
jif_else4,Decisions,MethodDefinition,0,1.5
jif_else4,Decisions,ObjectCreationStatement,0,1
jif_else4,Decisions,PublicAccessSpecifier,0,3
jif_else4,Decisions,LessExpression,1,1
jif_else4,Decisions,NestedStatement,1,1
jif_else4,Decisions,GreaterExpression,1,1
jif_else4,Decisions,IfStatement,1,2
jif_else5,Decisions,ModulusExpression,0,2
jif_else5,Decisions,MultiplyExpression,0,1
jif_else5,Decisions,SimpleAssignmentExpression,0,4
jif_else5,Decisions,ExpressionStatement,0,4
jif_else5,Decisions,SimpleVariable,0,2
jif_else5,Decisions,IntDataType,0,2
jif_else5,Decisions,PostDecrementExpression,1,1
jif_else5,Decisions,StatementBlock,1,3
jif_else5,Decisions,IfElseIfStatement,1,1
jif_else5,Decisions,GreaterExpression,1,3
jif_else5,Decisions,IfElseStatement,1,1
jif_else5,Decisions,PostIncrementExpression,1,1
jswitch1,Switch,java.lang.System.out.print,0,6
jswitch1,Switch,SimpleAssignmentExpression,0,1
jswitch1,Switch,StringLiteral,0,6
jswitch1,Switch,SimpleVariable,0,1
jswitch1,Switch,IntDataType,0,1
jswitch1,Switch,StatementBlock,0,1
jswitch1,Switch,StringDataType,0,6
jswitch1,Switch,VariableInitializationStatement,0,1
jswitch1,Switch,DefaultClause,1,1
jswitch1,Switch,CaseClause,1,5
jswitch1,Switch,BreakStatement,1,5
jswitch1,Switch,SwitchStatement,1,1
jswitch2,Switch,ExpressionStatement,0,3
